Day,Type,load_percent
143,Memory,3.8278897652694304
144,Memory,3.8278897652694304
145,Memory,3.827889658860549
146,Memory,3.827889658860549
147,Memory,3.8278897652694304
148,Memory,3.827889658860549
149,Memory,3.8278897652694304
150,Memory,3.827889658860549
151,Memory,3.8278897652694304
152,Memory,3.8278897652694304
153,Memory,3.827889658860549
154,Memory,3.8278897652694304
155,Memory,3.827889658860549
156,Memory,3.8278897652694304
157,Memory,3.8278897652694304
158,Memory,3.827889658860549
159,Memory,3.8278897652694304
160,Memory,3.827889658860549
161,Memory,3.827889658860549
162,Memory,3.8278897652694304
163,Memory,3.827889658860549
164,Memory,3.827889658860549
165,Memory,3.8278897652694304
166,Memory,3.827889658860549
167,Memory,3.8278897652694304
168,Memory,3.8278897652694304
169,Memory,3.8278897652694304
170,Memory,3.827889658860549
171,Memory,3.8278897652694304
172,Memory,3.8278897652694304
173,Memory,3.8278897652694304
174,Memory,3.827889658860549
175,Memory,3.8278897652694304
176,Memory,3.827889658860549
177,Memory,3.8278897652694304
178,Memory,3.827889658860549
179,Memory,3.8278897652694304
180,Memory,3.827889658860549
1,Network,3.5325407538332363
2,Network,3.539671437221254
3,Network,3.5553353391388987
4,Network,3.55665298886058
5,Network,3.5648249436701853
6,Network,3.570765844665997
7,Network,3.57008583696443
8,Network,3.5699213040633713
9,Network,3.5714734285747634
10,Network,3.5700816774247968
11,Network,3.570131745957422
12,Network,3.5702073879559424
13,Network,3.5700670420075675
14,Network,3.5701178808253107
15,Network,3.5700966209560727
16,Network,3.5700926154734627
17,Network,3.5700933857585797
18,Network,3.5700805990256326
19,Network,3.570088147819782
20,Network,3.5700876856487116
21,Network,3.570086761306571
22,Network,3.570088455933829
23,Network,3.570088147819782
24,Network,3.5700879937627588
25,Network,3.5700879937627588
26,Network,3.570088147819782
27,Network,3.5700879937627588
28,Network,3.570088147819782
29,Network,3.570088147819782
30,Network,3.5700883018768055
31,Network,3.570087839705735
32,Network,3.570088147819782
33,Network,3.570088147819782
34,Network,3.570088147819782
35,Network,3.570088147819782
36,Network,3.5700879937627588
37,Network,3.5700879937627588
38,Network,3.5700879937627588
39,Network,3.570087839705735
40,Network,3.570088147819782
41,Network,3.570088147819782
42,Network,3.5700879937627588
43,Network,3.570088147819782
44,Network,3.570088147819782
45,Network,3.5700879937627588
46,Network,3.570087839705735
47,Network,3.570087839705735
48,Network,3.570088147819782
49,Network,3.5700879937627588
50,Network,3.570087839705735
51,Network,3.5700879937627588
52,Network,3.5700879937627588
53,Network,3.5700879937627588
54,Network,3.570088147819782
55,Network,3.5700879937627588
56,Network,3.5700879937627588
57,Network,3.570088147819782
58,Network,3.5700879937627588
59,Network,3.570087839705735
60,Network,3.570088147819782
61,Network,3.5700879937627588
62,Network,3.5700879937627588
63,Network,3.570088147819782
64,Network,3.5700879937627588
65,Network,3.5700879937627588
66,Network,3.5700879937627588
67,Network,3.5700879937627588
68,Network,3.570087839705735
69,Network,3.5700879937627588
70,Network,3.570088147819782
71,Network,3.5700883018768055
72,Network,3.570088147819782
73,Network,3.570088147819782
74,Network,3.5700879937627588
75,Network,3.570088147819782
76,Network,3.570088147819782
77,Network,3.570087839705735
78,Network,3.5700879937627588
79,Network,3.5700879937627588
80,Network,3.5700879937627588
81,Network,3.5700879937627588
82,Network,3.570088147819782
83,Network,3.5700879937627588
84,Network,3.5700879937627588
85,Network,3.570088147819782
86,Network,3.570088147819782
87,Network,3.5700879937627588
88,Network,3.5700879937627588
89,Network,3.5700879937627588
90,Network,3.5700879937627588
91,Network,3.5700879937627588
92,Network,3.5700879937627588
93,Network,3.570087839705735
94,Network,3.570088147819782
95,Network,3.5700879937627588
96,Network,3.570088147819782
97,Network,3.570088147819782
98,Network,3.5700879937627588
99,Network,3.570087839705735
100,Network,3.570088147819782
101,Network,3.5700879937627588
102,Network,3.570088147819782
103,Network,3.570088147819782
104,Network,3.570088147819782
105,Network,3.5700879937627588
106,Network,3.5700879937627588
107,Network,3.5700879937627588
108,Network,3.570088147819782
109,Network,3.570088147819782
110,Network,3.5700879937627588
111,Network,3.5700879937627588
112,Network,3.570088147819782
113,Network,3.5700879937627588
114,Network,3.5700879937627588
115,Network,3.570088147819782
116,Network,3.5700879937627588
117,Network,3.5700879937627588
118,Network,3.570088147819782
119,Network,3.570088147819782
120,Network,3.5700879937627588
121,Network,3.5700879937627588
122,Network,3.570088147819782
123,Network,3.5700879937627588
124,Network,3.570087839705735
125,Network,3.5700879937627588
126,Network,3.570088147819782
127,Network,3.5700879937627588
128,Network,3.570087839705735
129,Network,3.570088147819782
130,Network,3.570088147819782
131,Network,3.5700879937627588
132,Network,3.5700879937627588
133,Network,3.5700879937627588
134,Network,3.5700879937627588
135,Network,3.5700879937627588
136,Network,3.5700879937627588
137,Network,3.5700879937627588
138,Network,3.5700879937627588
139,Network,3.5700879937627588
140,Network,3.5700879937627588
141,Network,3.5700879937627588
142,Network,3.5700879937627588
143,Network,3.570088147819782
144,Network,3.5700879937627588
145,Network,3.570087839705735
146,Network,3.570088147819782
147,Network,3.570088147819782
148,Network,3.570088147819782
149,Network,3.5700879937627588
150,Network,3.570088147819782
151,Network,3.570088147819782
152,Network,3.570087839705735
153,Network,3.570087839705735
154,Network,3.570088147819782
155,Network,3.570088147819782
156,Network,3.570088147819782
157,Network,3.570088147819782
158,Network,3.570088147819782
159,Network,3.5700879937627588
160,Network,3.5700879937627588
161,Network,3.5700879937627588
162,Network,3.5700879937627588
163,Network,3.570087839705735
164,Network,3.5700879937627588
165,Network,3.5700879937627588
166,Network,3.570088147819782
167,Network,3.5700879937627588
168,Network,3.5700879937627588
169,Network,3.5700879937627588
170,Network,3.5700879937627588
171,Network,3.570087839705735
172,Network,3.570088147819782
173,Network,3.5700879937627588
174,Network,3.5700879937627588
175,Network,3.5700879937627588
176,Network,3.570087839705735
177,Network,3.570088147819782
178,Network,3.5700879937627588
179,Network,3.5700883018768055
180,Network,3.5700883018768055
